Country,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Niger,NER,1.954810297,-0.624465143,5.556449575,-4.38801774,4.333724515,-1.551961396,7.642445755,1.299431311,3.475427578,0.411245867,0.98701599,0.96604934
Nigeria,NGA,5.422785011,4.053714709,3.492157398,4.12618684,4.999833324,2.119093602,1.524085569,2.614625618,3.519624173,-0.022235191,-4.160106639,-1.771579886
Nicaragua,NIC,2.454825102,3.708311577,2.09712763,-4.522715723,3.115518798,5.03350515,5.240603327,3.715792807,3.596299704,3.596592092,3.503364017,3.720109815
Netherlands,NLD,3.352505331,3.473151677,1.30392362,-4.261221542,0.883876122,1.190542088,-1.422504187,-0.48416549,1.055409463,1.808519755,1.667446596,2.544787243
Norway,NOR,1.573721897,1.924927141,-0.763761382,-2.923059713,-0.554839174,-0.329403687,1.381260571,-0.170023872,0.831566884,0.928695073,0.236309121,0.998313008
Nepal,NPL,2.167897034,2.329789752,5.058607583,3.496219024,3.722470868,2.271277472,3.558003997,2.880963551,4.724406092,2.122094959,-0.718252714,6.317378325
Nauru,NRU,,,35.16253596,8.681550497,12.64468552,11.32915718,7.708964768,27.49245035,24.63741377,-2.317796345,5.543723649,-0.423878238
New Zealand,NZL,1.330154544,2.797444369,-2.377575125,0.902257284,-0.154049343,1.915741444,1.939030941,1.237160316,1.992861249,2.480000851,1.321864437,0.86445133
OECD members,OED,2.200976433,1.752862622,-0.5897217,-4.231372765,2.20364674,1.289512045,0.625193968,0.772202186,1.403483144,1.771429097,1.076185727,1.748847817
Oman,OMN,2.446198452,1.323501429,4.425000534,1.55103554,-0.657610502,-7.090239659,2.157443015,-2.568824409,-3.719837752,-1.218591176,0.026504011,-4.822100836
Other small states,OSS,8.510931807,7.170331589,4.682346109,-0.750962452,5.598742265,5.131390627,1.28107455,0.729106228,0.690888234,0.516620987,0.079927784,0.211196917
Pakistan,PAK,4.025302468,2.715027687,-0.356696773,0.735637493,-0.484655809,0.610616229,1.338548629,2.212692738,2.511972625,2.610728514,3.438653296,3.655196043
Panama,PAN,6.684366015,9.976915374,7.904241007,-0.542273572,3.973661911,9.375430059,7.883024121,5.078554632,3.303188467,3.839871825,3.300340276,3.699334481
Peru,PER,6.222645364,7.203635151,7.795895326,-0.157444945,6.959979402,4.946856996,4.735588074,4.443897134,1.028659678,1.924172341,2.651934145,1.279059695
Philippines,PHL,3.402985781,4.844677601,2.479031744,-0.462890953,5.903121687,1.971962894,4.934106153,5.308934105,4.426210907,4.38340689,5.21665911,5.059747393
Palau,PLW,-3.183423722,-0.035360551,-6.932439123,-5.880295914,-1.53955614,5.673700275,3.168300101,-2.278871918,1.850115291,9.134200854,-0.941625685,-4.721866922
Papua New Guinea,PNG,-0.164972084,8.455238017,-2.633924984,4.341820616,7.63360964,-1.13350871,2.374186109,1.614237904,12.99688055,3.117973356,-0.181686349,0.141783691
Poland,POL,6.246911937,7.092943044,4.23549551,2.750609034,3.903262076,4.960782917,1.608149565,1.453110959,3.360478741,3.913820216,2.90855455,4.534545722
Pre-demographic dividend,PRE,5.296524755,4.280060424,3.863828025,1.874166767,3.036618093,1.689636181,3.100540107,2.567836773,1.781732629,0.77702458,-0.239184777,-0.898651245
Puerto Rico,PRI,-0.991206137,-0.581822628,-1.266719688,-1.416210879,0.092102072,0.80057306,1.24696939,0.842159018,0.436573539,0.64392155,-0.700372863,
"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,
Portugal,PRT,1.370085762,2.291003501,0.054897748,-3.070552534,1.851920186,-1.68234825,-3.638376596,-0.586051381,1.438663429,2.244628252,1.940488401,2.996373722
Paraguay,PRY,3.251759305,3.948603941,4.935195274,-5.23072448,11.59890806,2.951359125,-2.561661376,12.51030651,3.334407035,1.620215311,2.686479734,-0.500141852
West Bank and Gaza,PSE,-6.99094999,-4.206315044,-9.983146672,15.69506126,-0.151333036,4.399887973,11.14402132,-7.094682227,-3.974253275,9.12070203,0.520119693,-6.080965885
Pacific island small states,PSS,1.160089173,-0.038463293,0.573737788,-2.661013449,1.484891889,2.773741241,0.50086633,1.512684483,2.595777965,1.98602265,0.792563433,1.990922697
Post-demographic dividend,PST,2.285447767,1.884595503,-0.452192904,-4.072680946,2.308127757,1.291536643,0.678690752,0.824752444,1.440763748,1.645033396,1.155402763,1.795600304
French Polynesia,PYF,,,,,,,,,,,,
Qatar,QAT,7.998734326,0.207865686,0.750174951,-2.220324263,6.898721541,3.363472755,-3.129369129,-2.126986546,-1.448873664,-0.91894622,-1.287934258,-1.075683178
Romania,ROU,8.697583855,8.454090831,10.07900726,-5.123235888,-2.232622307,2.532864233,1.689877303,3.916749307,3.4631366,4.464400892,5.422752232,7.579331501
Russian Federation,RUS,8.508018385,8.72086011,5.294212026,-7.848639728,4.456827158,5.202829837,3.481593764,1.568860031,-1.043023104,-3.03756702,-0.40758619,1.430704576
Rwanda,RWA,6.678149847,4.889626565,8.175389684,3.38077389,4.512742784,5.251688378,5.898764235,2.045529713,4.966479414,6.207527424,3.420557283,3.572454488
South Asia,SAS,6.955742074,7.341623161,2.337231169,6.049101504,7.50773104,4.835773819,4.08209291,4.656433402,5.590209761,6.226615729,5.492368658,5.167182462
Saudi Arabia,SAU,-0.024660823,-0.872286566,3.430997527,-4.706833458,2.112692511,6.832496856,2.336999074,-0.243798339,0.849572301,1.531811758,-0.59281771,-2.732090242
Sudan,SDN,7.168389538,8.637283783,5.046040171,0.614039243,0.834792441,7.889471189,12.81520637,1.959133191,0.263305647,2.436229194,2.23710955,1.827353742
Senegal,SEN,-0.246947895,2.138660023,0.875508116,-0.408230355,1.232839625,-1.181956422,1.343627138,0.40164817,1.028617242,3.394178939,3.731612454,3.829803949
Singapore,SGP,5.506289048,4.659321218,-3.487424383,-3.556386025,13.21649301,4.156319956,1.560797997,3.422721724,2.543736531,1.035260431,1.077066837,3.526781655
Solomon Islands,SLB,4.383735339,4.812369961,4.645326617,-6.869690326,4.439085837,10.71529457,2.296252685,0.827376691,0.119643593,0.451536225,1.396342029,1.224793231
Sierra Leone,SLE,0.832529368,5.06317502,2.83477406,0.818781112,2.924974434,3.855277541,12.55317591,17.99566603,2.236710829,-22.33076919,3.773174693,1.938368077
El Salvador,SLV,3.868823904,1.408546375,1.678856824,-2.513764378,1.653208362,3.34353038,2.340001724,1.891535772,1.485497804,1.870174729,2.059260887,1.79106277
San Marino,SMR,2.54396036,5.832959463,0.39758152,-13.88021094,-5.841553399,-10.57267778,-8.736252763,-4.20036196,-1.956549226,-0.438321826,0.22725087,0.638933855
Somalia,SOM,,,,,,,,,,,,
Serbia,SRB,5.3176496,6.318966666,5.816191356,-2.726691699,0.989647482,2.205167184,-0.533730435,3.072055604,-1.369325965,1.257472005,3.337079714,2.39044059
Sub-Saharan Africa (excluding high income),SSA,4.12843752,4.292818626,2.568949312,0.090078777,2.560476752,1.645387205,1.48967047,1.974549986,1.874334336,0.354669638,-1.360123087,-0.084704823
South Sudan,SSD,,,,,,,-54.05195539,25.16719036,-0.234438213,-3.125160281,-16.28958983,
Sub-Saharan Africa,SSF,4.13030342,4.295529971,2.563122876,0.087452994,2.560853986,1.648321149,1.48763831,1.975490176,1.874317891,0.356013261,-1.35770519,-0.083392098
Small states,SST,7.927952556,6.217656426,3.972615923,-1.265811284,4.836466442,4.461172537,1.302238921,0.798514286,0.723765235,0.660374294,-0.163567937,0.241616992
Sao Tome and Principe,STP,6.583074362,0.86504904,5.715389513,0.087685937,4.253226006,2.048658268,0.835945747,2.485888052,4.198510122,1.544000487,1.908643439,1.629463056
Suriname,SUR,2.738250901,3.998310949,3.043038162,1.931164291,4.072564853,4.757002006,1.641031913,1.896973155,-0.730350199,-3.527171265,-6.018996819,-0.79887309
Slovak Republic,SVK,8.447902154,10.76725222,5.53923472,-5.548489764,4.94387255,2.686613637,1.484291761,1.381645185,2.65066889,3.751454707,3.191572522,3.227309734
Slovenia,SVN,5.319372956,6.34528862,3.136899703,-8.626919318,0.797240022,0.440502293,-2.873785074,-1.26615369,2.877963809,2.182042124,3.0728814,4.91413516
Sweden,SWE,4.100926289,2.640983001,-1.328731592,-5.988964284,5.089185551,1.89205741,-1.021244095,0.386963246,1.591300229,3.422520218,1.945957089,0.818382775
Eswatini,SWZ,4.607238747,2.791466549,-0.958575149,-0.308357152,1.880870277,0.376708079,2.796887946,4.470763397,0.070337809,-1.428987466,-0.449243065,0.198526919
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,
Seychelles,SYC,7.15334449,9.859154622,-4.310878182,-1.492677418,3.037276524,10.76086835,0.272336532,4.078024088,2.891898387,2.623392345,3.114470338,2.932331
Syrian Arab Republic,SYR,1.556251164,1.835319354,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,
Chad,TCD,-2.776229063,-0.122205409,-0.262297817,0.875156333,9.878044511,-3.186664669,5.313322316,2.251774958,3.46636815,-0.459812013,-9.129830126,-5.868097016
East Asia & Pacific (IDA & IBRD countries),TEA,9.924132631,11.33715361,7.64753789,6.926066575,8.998535806,7.686620493,6.731886856,6.416214648,5.985550339,5.729016548,5.5587902,5.806242822
Europe & Central Asia (IDA & IBRD countries),TEC,7.693561031,7.400210441,4.056115806,-5.312413052,4.394691836,5.743830528,2.776394665,3.062778301,1.779457018,0.46218891,1.165000815,3.530684887
Togo,TGO,1.298187144,-0.431539181,-0.502132533,0.752255442,1.237366134,2.11488039,2.066691578,1.2594729,3.148129856,2.715168408,2.771331182,2.975685923
Thailand,THA,4.332130874,4.843452617,1.190416166,-1.18980045,6.990584792,0.360142575,6.746677123,2.236675835,0.580417497,2.658813525,2.973849715,3.641102721
Tajikistan,TJK,4.762641742,5.511665551,5.57743407,1.534611457,4.147312306,5.004658716,5.091681716,4.99996556,4.339674633,3.694836764,4.620026413,4.862379832
Turkmenistan,TKM,9.687564401,9.690321172,13.17496952,4.570602495,7.498636766,12.7746632,9.122199236,8.178511533,8.282886346,4.604664561,4.375906062,4.733081154
Latin America & the Caribbean (IDA & IBRD countries),TLA,3.993469961,4.309528216,2.755496483,-3.117063833,4.72514911,3.227763578,1.651008821,1.669837105,-0.10538765,-1.057046976,-1.501825133,0.669139227
Timor-Leste,TLS,38.68357476,3.564041875,8.664282568,-7.255027523,-2.732342526,9.66387422,2.674937149,-13.07577002,-27.78430547,18.13746613,-1.376379481,-9.961628035
Middle East & North Africa (IDA & IBRD countries),TMN,3.706123263,4.221497803,1.689057363,0.675850741,3.354576252,-2.811848908,0.911011427,-0.175286331,0.308099019,-0.875905963,5.243349282,1.882791175
Tonga,TON,-1.444283399,-4.791206927,2.450925248,1.699206223,3.055479284,2.352684982,0.53079308,-3.467363612,1.634527401,3.144358858,2.647956031,1.846226625
South Asia (IDA & IBRD),TSA,6.955742074,7.341623161,2.337231169,6.049101504,7.50773104,4.835773819,4.08209291,4.656433402,5.590209761,6.226615729,5.492368658,5.167182462
Sub-Saharan Africa (IDA & IBRD countries),TSS,4.13030342,4.295529971,2.563122876,0.087452994,2.560853986,1.648321149,1.48763831,1.975490176,1.874317891,0.356013261,-1.35770519,-0.083392098
Trinidad and Tobago,TTO,12.66857629,4.264847409,2.91000803,-4.842444951,2.819044819,-0.793932908,0.780558245,0.48203026,-0.712058269,1.09925403,-6.292593846,-2.632973988
Tunisia,TUN,4.277501542,5.653195785,3.143560902,1.922135996,2.361701531,-3.024888542,2.801659502,1.681036443,1.776184747,-0.010600926,-0.040607152,0.815711009
Turkey,TUR,5.770121117,3.772041114,-0.361270391,-5.90556276,7.00581964,9.474947563,3.159261369,6.748478827,3.469272103,4.404098459,1.573436855,5.778870079
Tuvalu,TUV,1.03059432,5.249992789,6.97026513,-5.357310929,-3.560721378,6.534577058,-4.70526382,3.668036015,0.52101104,8.220242088,2.143597032,2.365253257
Tanzania,TZA,1.51228645,5.135626176,2.287083578,2.098472241,3.054969517,4.570416327,1.907347765,3.977610373,3.697750553,3.69917069,3.718754214,3.859527381
Uganda,UGA,7.010567028,4.727295002,5.023515168,3.190619217,2.076684434,5.718076411,0.36785169,0.147417013,1.64290966,1.751374847,1.268515388,0.629712705
Ukraine,UKR,8.027904667,8.545878642,2.855418166,-14.42092881,4.614794647,5.845341746,0.486676587,0.201173611,-1.144531809,-9.444243135,2.720932078,2.95168888
Upper middle income,UMC,7.406361686,8.092125699,5.145916427,0.975041233,6.661245501,5.525176323,4.432118252,4.222105772,3.385280405,2.599629508,3.119469964,4.001811847
Uruguay,URY,3.928852933,6.264034821,6.821654778,3.873639957,7.430904284,4.813966085,3.198220768,4.292800216,2.890359322,0.019573306,1.322073848,2.278220064
United States,USA,1.681416459,0.815188221,-1.230282169,-3.624124115,1.681110148,0.84970454,1.459290166,0.956718861,1.800455459,2.087076438,0.742794634,1.546997883
Uzbekistan,UZB,5.998663556,8.367537718,7.264163383,6.291286901,5.480033191,5.431873862,6.61885439,6.326248546,5.989420944,6.132535008,5.941723632,3.546582291
St. Vincent and the Grenadines,VCT,7.527184894,-1.707929344,6.551712594,-2.177917516,-3.408340704,-0.443030585,1.392697994,1.839738097,0.950022045,1.731291138,1.096564308,1.361536114
"Venezuela, RB",VEN,8.036828847,6.975326733,3.595395732,-4.711194675,-2.984410152,2.637438335,4.107315389,-0.076772683,-5.209201903,,,
British Virgin Islands,VGB,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,3.705181531,4.066184896,0.885831729,-6.646659877,0.947883005,-8.102479143,-14.93992302,-5.6724406,-0.815274734,0.35615929,,
Vietnam,VNM,5.99010742,6.13794004,4.664702634,4.365642085,5.332085165,5.095026372,4.066064787,4.21688206,4.784398867,5.508820999,5.090510776,5.725877848
Vanuatu,VUT,5.805000703,2.630161192,3.903752633,0.875316475,-0.740736807,-1.110335353,-0.553475485,-0.309572818,0.074466198,-2.957877378,1.770194047,2.290702986
World,WLD,3.02301032,2.95317265,0.568479052,-2.928704615,3.058140215,1.973093165,1.286948864,1.392649993,1.636629097,1.651377797,1.31327843,1.970696714
Samoa,WSM,1.312830035,5.627379434,0.326615142,-5.477816778,-0.264971466,4.955606218,-0.409311206,-2.737380402,0.389377906,0.864223505,6.395084034,1.813849012
Kosovo,XKX,3.667025005,6.427746788,1.823663863,2.514978674,2.48306566,3.91600918,2.08595684,2.359550689,1.325832291,5.249904137,3.243771099,3.638679499
"Yemen, Rep.",YEM,0.354225673,0.530343314,0.843691199,1.069911413,4.819588364,-15.03782629,-0.310776849,2.092396931,-2.736534359,-38.71101827,-35.92984642,
South Africa,ZAF,4.439916026,4.256749263,2.116509918,-2.617337614,1.813628664,1.942602704,0.796403155,1.019058245,0.405051486,-0.097301741,-0.734889635,0.066568056
Zambia,ZMB,5.016984644,5.43605882,4.83669129,6.185551827,7.163546274,2.49551664,4.412267362,1.916769715,1.560750511,-0.145952014,0.687854852,1.01580933
Zimbabwe,ZWE,-4.816677131,-5.139677964,-19.05683085,9.974501357,10.37742644,13.03571743,12.2502399,3.120642911,-0.239734003,-0.667922674,-1.707497727,1.071853438
